Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Tim Hardaway Jr.,56,20,28.3,5.6,12.7,0.44,2.8,7.4,0.385,2.8,5.3,0.517,1.8,2.2,0.8,0.3,3,3.3,1.7,0.4,0.1,0.9,1.5,15.8,NBA,  DAL,G,28,17737500,0.0024,56
Eric Bledsoe,57,56,30.1,4.1,10.1,0.407,1.8,5.1,0.346,2.4,5,0.469,1.8,2.4,0.734,0.4,3,3.4,3.7,0.7,0.3,1.6,1.6,11.8,NBA,  NOP,G,30,17500000,0.00236,57
Dennis Schröder,54,54,31.8,5.4,12.3,0.434,1.1,3.3,0.343,4.2,9,0.467,3.6,4.2,0.843,0.5,3,3.5,5.5,1.2,0.2,2.7,2.6,15.4,NBA,  LAL,G,27,17500000,0.00236,58
Caris LeVert,34,26,30.9,7.1,16.5,0.431,1.7,5.6,0.305,5.4,10.9,0.495,2.6,3.2,0.8,0.8,3.7,4.5,4.8,1.5,0.5,2,2.1,18.5,NBA,  IND,G,26,17500000,0.00236,59
Evan Fournier,30,26,30.1,6.2,13.6,0.457,2.8,7,0.398,3.4,6.5,0.52,3.4,4.2,0.795,0.2,2.6,2.7,3.4,1.1,0.4,1.9,2.2,18.6,NBA,  BOS,G,27,17000000,0.0023,60
Ricky Rubio,56,41,26.3,2.8,7.2,0.38,0.9,2.9,0.305,1.9,4.3,0.432,2,2.4,0.856,0.4,2.8,3.2,6.7,1.4,0.1,1.8,2.1,8.4,NBA,  MIN,G,29,17000000,0.0023,61
Rudy Gay,50,0,21.6,4,9.8,0.414,1.6,4.2,0.373,2.5,5.5,0.446,1.3,1.6,0.8,0.7,4.2,4.9,1.5,0.7,0.6,1,1.9,10.9,NBA,  SAS,F,34,16000000,0.00216,62
Dejounte Murray,55,55,31.6,6.5,14.3,0.451,1,3.1,0.333,5.4,11.2,0.484,1.6,2,0.791,0.7,6.2,6.9,5.3,1.5,0.1,1.7,2,15.5,NBA,  SAS,G,24,15955000,0.00216,63
Andre Iguodala,52,4,21.5,1.6,4.2,0.385,1,3.2,0.329,0.6,1,0.556,0.4,0.7,0.647,0.6,3.1,3.7,2.2,1,0.5,1,1.4,4.7,NBA,  MIA,F,36,15000000,0.00203,64
Danny Green,57,57,28.6,3.4,8,0.423,2.6,6.3,0.418,0.8,1.7,0.443,0.4,0.6,0.758,0.8,2.9,3.8,1.7,1.3,0.9,1,1.9,9.8,NBA,  PHI,G,33,15000000,0.00203,65
Malik Beasley,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,NBA,  MIN,G,23,15000000,0.00203,66
Kelly Oubre Jr.,52,50,30.8,5.8,13.1,0.439,1.6,5.1,0.318,4.1,8,0.516,2.2,3.1,0.71,1.5,4.6,6,1.3,1,0.8,1.3,2.3,15.3,NBA,  GSW,F,24,15000000,0.00203,67
Thaddeus Young,54,17,24.1,5.5,9.6,0.574,0.2,0.6,0.265,5.4,9,0.596,1,1.6,0.631,2.4,3.8,6.2,4.2,1.1,0.6,2,2.4,12.2,NBA,  CHI,F,32,14545000,0.00197,68
James Johnson,40,6,20.1,2.7,6.1,0.442,0.6,2.4,0.26,2.1,3.7,0.562,0.9,1.3,0.642,0.6,2.7,3.3,2,0.9,0.9,1.1,2.3,6.8,NBA,  NOP,F,33,14431700,0.00195,69
Cody Zeller,37,20,21.2,3.6,6.7,0.54,0.1,0.7,0.12,3.5,6,0.587,1.6,2.2,0.735,2.6,4.4,7,1.9,0.6,0.4,1,2.4,9,NBA,  CHA,C,27,14000000,0.00189,70
Christian Wood,36,36,31.9,8.1,15.3,0.529,1.8,4.8,0.38,6.3,10.6,0.596,2.9,4.6,0.628,1.7,7.6,9.3,1.5,0.9,1.3,1.8,2.1,20.9,NBA,  HOU,F,25,13666667,0.00185,71
Terrence Ross,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469,2.6,3,0.87,0.3,3.1,3.4,2.3,1,0.5,1.6,1.9,15.6,NBA,  ORL,G,29,13500000,0.00182,72
Patrick Beverley,31,31,23.4,2.6,6.1,0.432,1.7,4,0.416,1,2.1,0.462,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8,NBA,  LAC,G,32,13333327,0.0018,73
J.J. Redick,36,0,17.8,2.7,6.6,0.405,1.6,4.4,0.376,1,2.2,0.463,1.3,1.4,0.94,0.1,1.6,1.7,1.2,0.3,0.1,0.8,1.1,8.3,NBA,  DAL,G,36,13250000,0.00179,74
Will Barton,55,51,31.5,4.7,11.1,0.426,1.8,4.7,0.381,2.9,6.4,0.459,1.7,2.2,0.785,0.7,3.4,4.1,3.3,0.9,0.4,1.7,1.7,12.9,NBA,  DEN,F,29,13250000,0.00179,75
Kentavious Caldwell-Pope,54,54,27.3,3.2,7.4,0.429,1.7,4.1,0.42,1.4,3.2,0.44,1.2,1.5,0.848,0.4,2.3,2.7,1.6,0.8,0.3,1,1.6,9.3,NBA,  LAL,G,27,13038862,0.00176,76
Justise Winslow,18,0,20.6,3,8.6,0.348,0.3,2.3,0.122,2.7,6.3,0.43,0.6,1,0.556,0.7,3.7,4.4,1.8,0.7,0.4,1.7,1.9,6.8,NBA,  MEM,F,24,13000000,0.00176,77
