,Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,Salary_Rank
77,Cody Zeller,37,20,21.2,3.6,6.7,0.54,0.1,0.7,0.12,3.5,6.0,0.587,1.6,2.2,0.735,2.6,4.4,7.0,1.9,0.6,0.4,1.0,2.4,9.0,NBA,  CHA,C,27,"$14,000,000  ",14000000.0,0.00189,78
78,Christian Wood,36,36,31.9,8.1,15.3,0.529,1.8,4.8,0.38,6.3,10.6,0.596,2.9,4.6,0.628,1.7,7.6,9.3,1.5,0.9,1.3,1.8,2.1,20.9,NBA,  HOU,F,25,"$13,666,667  ",13666667.0,0.00185,79
79,Terrence Ross,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469,2.6,3.0,0.87,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,NBA,  ORL,G,29,"$13,500,000  ",13500000.0,0.00182,80
80,Patrick Beverley,31,31,23.4,2.6,6.1,0.432,1.7,4.0,0.416,1.0,2.1,0.462,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0,NBA,  LAC,G,32,"$13,333,327  ",13333327.0,0.0018,81
81,Will Barton,55,51,31.5,4.7,11.1,0.426,1.8,4.7,0.381,2.9,6.4,0.459,1.7,2.2,0.785,0.7,3.4,4.1,3.3,0.9,0.4,1.7,1.7,12.9,NBA,  DEN,F,29,"$13,250,000  ",13250000.0,0.00179,82
82,J.J. Redick,36,0,17.8,2.7,6.6,0.405,1.6,4.4,0.376,1.0,2.2,0.463,1.3,1.4,0.94,0.1,1.6,1.7,1.2,0.3,0.1,0.8,1.1,8.3,NBA,  DAL,G,36,"$13,250,000  ",13250000.0,0.00179,83
83,Kentavious Caldwell-Pope,54,54,27.3,3.2,7.4,0.429,1.7,4.1,0.42,1.4,3.2,0.44,1.2,1.5,0.848,0.4,2.3,2.7,1.6,0.8,0.3,1.0,1.6,9.3,NBA,  LAL,G,27,"$13,038,862  ",13038862.0,0.00176,84
84,Justise Winslow,18,0,20.6,3.0,8.6,0.348,0.3,2.3,0.122,2.7,6.3,0.43,0.6,1.0,0.556,0.7,3.7,4.4,1.8,0.7,0.4,1.7,1.9,6.8,NBA,  MEM,F,24,"$13,000,000  ",13000000.0,0.00176,85
85,Joe Ingles,54,17,27.2,4.2,8.0,0.525,2.9,5.8,0.494,1.4,2.2,0.608,1.1,1.3,0.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.4,NBA,  UTH,F,32,"$13,000,000  ",13000000.0,0.00176,86
86,Brook Lopez,56,56,27.4,4.3,8.9,0.483,1.5,4.4,0.348,2.8,4.5,0.613,1.6,1.8,0.854,1.4,3.6,5.1,0.7,0.6,1.4,0.9,2.1,11.7,NBA,  MIL,C,32,"$13,000,000  ",13000000.0,0.00176,87
87,Marcus Smart,38,35,32.6,4.3,10.4,0.411,2.1,5.8,0.355,2.2,4.7,0.48,2.8,3.6,0.788,0.7,2.7,3.3,5.6,1.5,0.5,1.8,2.5,13.5,NBA,  BOS,G,26,"$12,999,975  ",12999975.0,0.00176,88
88,Jordan Clarkson,55,1,26.0,6.4,15.1,0.424,3.0,8.7,0.35,3.4,6.4,0.524,1.7,1.8,0.949,0.7,3.2,4.0,2.1,0.9,0.1,1.7,1.5,17.5,NBA,  UTH,G,28,"$12,880,000  ",12880000.0,0.00174,89
89,Marvin Bagley III,37,37,25.7,5.6,11.2,0.502,0.9,2.6,0.354,4.7,8.6,0.547,1.6,2.9,0.56,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9,NBA,  SAC,F,21,"$12,724,946  ",12724946.0,0.00172,90
90,Taurean Prince,41,10,22.1,3.2,8.0,0.401,1.5,3.8,0.4,1.7,4.2,0.401,1.6,1.9,0.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5,NBA,  CLE,F,26,"$12,625,000  ",12625000.0,0.00171,91
91,Kelly Olynyk,58,50,27.8,4.5,9.3,0.481,1.8,5.4,0.339,2.7,3.9,0.675,1.2,1.4,0.807,1.1,5.4,6.5,2.2,0.9,0.6,1.5,2.8,11.9,NBA,  HOU,F,29,"$12,500,000  ",12500000.0,0.00169,92
92,Trevor Ariza,18,15,26.6,2.8,7.2,0.385,1.5,4.1,0.365,1.3,3.1,0.411,1.2,1.6,0.75,0.7,3.5,4.2,1.7,0.7,0.6,0.7,1.6,8.2,NBA,  MIA,F,35,"$12,500,000  ",12500000.0,0.00169,93
